countryCode,GDPPerCapita,populationAges_0_14,populationAges_15_64,populationAges_65_above,populationDensity,ruralPopulation,urbanPopulation
AFG,547.228110150363,44.2721132547375,53.2079642015981,2.51992254366443,54.19711423582391,74.98,25.02
ALB,4124.108907186224,18.383696445238,68.660092473838,12.956211080924,104.9671897810219,41.579,58.421
DZA,3946.421444588299,29.1344524005489,64.8575664184352,6.00798118101593,17.025957493261227,28.540999999999997,71.459
AND,37224.10891629241,,,,164.46170212765958,11.751999999999995,88.248
AGO,3506.072885069655,47.0533524343201,50.6856291078069,2.26101845787304,23.13506376834844,35.851,64.149
ATG,15197.617455173497,22.4073545124673,69.2320712600633,8.3605742274694,214.83409090909092,75.154,24.846
ARG,12790.242473244707,25.0794558115824,64.0605666116429,10.8599775767747,15.928135082892107,8.373000000000005,91.627
ARM,3591.8292755302314,20.2602189334784,68.7610582999534,10.9787227665683,103.13122585177379,36.918,63.082
ABW,25239.60041099317,18.2574948508658,69.1376153787474,12.6048897703868,582.6222222222223,56.808,43.192
AUS,49971.13145612901,18.9523083816846,65.9065730162399,15.1411186020755,3.1449355305888442,14.200000000000003,85.8
AUT,45237.80509215433,14.1706567545806,66.9201962982639,18.9091469471555,105.8694934354829,42.095,57.905
AZE,3880.7387308955604,23.1373361847313,71.0271411085592,5.83552270670949,118.03328898028305,44.979,55.021
BHS,31588.834998981296,23.3530018786548,69.7719154340751,6.87508268727013,37.75534465534466,17.168000000000006,82.832
BHR,22619.116671884873,20.3899306490708,77.267581807164,2.34248754376515,1832.6361749002347,10.909999999999997,89.09
BGD,1401.6206282151525,28.7530634255702,66.1113230721407,5.13561350228916,1213.573327187524,64.917,35.083
BRB,16936.906044871168,17.951965737799,67.006186230738,15.041848031463,664.6418604651162,68.807,31.193
BLR,5022.6266433049095,16.5141430816303,69.0701098908777,14.4157470274919,46.80835140160874,22.339,77.661
BEL,42012.09990011279,17.0167036273099,64.6114376604001,18.37185871229,374.22133421400264,2.081000000000003,97.919
BLZ,4818.4043938353825,31.5236156351791,63.9657980456026,4.51058631921824,16.15081104778606,54.505,45.495
BEN,1087.2878315225569,42.8661699256158,53.8983079844184,3.23552208996581,96.4177633912735,53.771,46.229
BMU,,,,,1195.4629418503282,0.0,100.0
BTN,2930.56298819354,26.7426171563225,67.4147694880468,5.84261335563072,19.313889965950626,60.572,39.428
BOL,3076.658949342402,31.983443520712,61.1159325202546,6.90062395903339,10.183525339241207,31.262,68.738
BIH,4994.683140450908,14.9211845732143,70.0003779974757,15.07843742931,66.13802734375,52.482,47.518
BWA,7243.8529972684155,34.7144139593607,61.3285078616083,3.95707817903105,3.811239920244208,32.06699999999999,67.933
BRA,8710.096689541213,22.0495231024737,69.6487895917995,8.30168730572689,24.666140792090108,13.957999999999998,86.042
VGB,,,,,195.7,53.043,46.957
BRN,27157.823410478362,23.8835159599809,71.815864697475,4.30061934254407,79.6584440227704,23.010000000000005,76.99
BGR,7469.4556382362425,14.3163832312656,65.254273902527,20.4293428662073,65.65790346352247,25.671000000000006,74.329
BFA,582.7954443273286,45.3876432806687,52.2026259606635,2.40973075866777,68.15196637426901,71.866,28.134
BDI,282.19313040481427,45.5617398749713,52.3029616242189,2.13529850080974,408.41113707165107,87.612,12.388
KHM,1278.6310621629816,31.3893146213453,64.3530387487432,4.25764662991146,89.31731815091774,77.418,22.582
CMR,1363.4038512173927,43.0635029678954,54.2049039997449,2.73159303235974,50.61568191914704,44.821,55.179
CAN,42279.90082316374,15.8980345295862,67.6469556724162,16.4550097979977,3.970907493366148,18.700000000000003,81.3
CYM,78296.0999272332,,,,260.70416666666665,0.0,100.0
CAF,401.91823836233544,44.954542910197,52.2123831397765,2.83307395002651,7.283840572731067,59.382,40.618
TCD,692.9785958138654,47.6386483409172,49.9074968101164,2.4538548489664,11.564220139771283,77.32300000000001,22.677
CHL,13748.08766329208,20.2993805064597,68.8222483435176,10.8783711500226,24.48995770819389,12.578000000000003,87.422
CHN,8078.790474372376,17.9946160874834,72.2027527736548,9.80263113886186,146.85067760520909,43.264,56.736
COL,5871.223523859516,24.0457654306216,68.0179463013345,7.9362882680438,43.417207751239296,19.891999999999996,80.108
COM,1272.1939433697542,39.97664632123,57.0991161298756,2.92423754889441,427.5077774889814,71.381,28.619
CRI,11666.455910775921,21.8506147250296,69.1839215242038,8.96546375076668,95.95270270270271,22.265,77.735
CIV,1481.6522308773153,42.3811493518329,54.7985044860968,2.82034616207037,74.91419496855346,50.119,49.881
HRV,12360.473257060006,14.4314905519695,65.9528270908012,19.6156823572293,74.59522873481058,43.597,56.403
CUB,8060.795886479786,16.5734606405023,69.0380873435303,14.3884520159674,108.97047683137858,23.069999999999993,76.93
CUW,19555.365849289094,19.5862205995579,64.6542731540124,15.7595062464297,359.60360360360363,10.727999999999994,89.272
CYP,24532.5190588269,16.8727733259727,70.0034268027247,13.1237998713026,126.64361471861471,33.119,66.881
CZE,18463.386575656423,15.2062034548539,66.2722456851995,18.5215508599466,136.83413623413622,26.430000000000007,73.57
DNK,54663.9983719195,16.5972697518572,63.9802785646613,19.4224516834814,136.41366992140985,12.358000000000004,87.642
DJI,2818.3768556923947,30.3325110428022,65.2792128397868,4.38827611741103,40.08248490077653,22.471999999999994,77.528
DMA,8080.96862341186,,,,95.076,30.120000000000005,69.88
DOM,7280.873164234655,28.5335824387239,64.7772338241547,6.68918373712136,215.22962119643967,20.563999999999993,79.436
ECU,6060.093329044154,28.7069231700268,64.5292713967933,6.7638054331799,66.40004429054598,36.466,63.534
