countryCode,restrictions_on_gatherings_of_less_than_100,restrictions_on_gatherings_of_more_than_100,stay_at_home_requirements,restrictions_on_internal_movement
NLD,12-03-2020,12-03-2020,23-03-2020,
NOR,24-03-2020,11-03-2020,,16-03-2020
NPL,18-03-2020,18-03-2020,23-03-2020,22-03-2020
NZL,21-03-2020,16-03-2020,23-03-2020,23-03-2020
OMN,17-03-2020,17-03-2020,10-04-2020,18-03-2020
PAK,13-03-2020,13-03-2020,23-03-2020,24-03-2020
PAN,13-03-2020,13-03-2020,01-04-2020,23-03-2020
PER,15-03-2020,12-03-2020,15-03-2020,15-03-2020
PHL,15-03-2020,15-03-2020,15-03-2020,15-03-2020
PNG,29-04-2020,20-03-2020,18-04-2020,24-03-2020
POL,31-03-2020,31-03-2020,31-03-2020,31-03-2020
PRI,15-03-2020,15-03-2020,15-03-2020,12-03-2020
PRT,19-03-2020,19-03-2020,19-03-2020,09-04-2020
PRY,10-03-2020,10-03-2020,17-03-2020,16-03-2020
QAT,22-03-2020,22-03-2020,,17-03-2020
XKX,11-03-2020,11-03-2020,13-03-2020,13-03-2020
ROU,22-03-2020,12-03-2020,25-03-2020,30-03-2020
RUS,16-03-2020,16-03-2020,05-03-2020,05-03-2020
RWA,04-05-2020,08-03-2020,21-03-2020,21-03-2020
SAU,16-03-2020,16-03-2020,23-03-2020,08-03-2020
SDN,14-03-2020,14-03-2020,18-04-2020,13-04-2020
SEN,23-03-2020,14-03-2020,25-03-2020,23-03-2020
SGP,27-03-2020,13-03-2020,08-04-2020,08-04-2020
SLE,16-03-2020,16-03-2020,05-04-2020,05-04-2020
SLV,21-04-2020,11-03-2020,21-03-2020,18-03-2020
SMR,08-03-2020,08-03-2020,10-04-2020,17-04-2020
SOM,19-03-2020,19-03-2020,,
SRB,15-03-2020,11-03-2020,15-03-2020,18-03-2020
SSD,,16-03-2020,18-04-2020,12-04-2020
SUR,28-03-2020,28-03-2020,28-03-2020,16-03-2020
SVK,12-03-2020,12-03-2020,08-04-2020,08-04-2020
SVN,19-03-2020,07-03-2020,,30-03-2020
SWE,24-04-2020,12-03-2020,,
SYC,30-03-2020,30-03-2020,08-04-2020,08-04-2020
SYR,16-03-2020,16-03-2020,17-04-2020,25-03-2020
TCD,19-03-2020,19-03-2020,02-04-2020,13-04-2020
THA,16-03-2020,16-03-2020,,26-03-2020
TJK,,,,
TLS,28-03-2020,28-03-2020,,
TTO,16-03-2020,16-03-2020,30-03-2020,27-04-2020
TUN,20-03-2020,20-03-2020,20-03-2020,20-03-2020
TUR,,,21-03-2020,28-03-2020
TZA,17-03-2020,17-03-2020,,
UGA,30-03-2020,30-03-2020,30-03-2020,30-03-2020
UKR,17-03-2020,12-03-2020,03-04-2020,12-03-2020
URY,,,02-04-2020,01-04-2020
USA,21-03-2020,12-03-2020,15-03-2020,19-03-2020
UZB,23-03-2020,23-03-2020,27-03-2020,24-03-2020
VEN,17-03-2020,17-03-2020,13-03-2020,13-03-2020
VNM,01-04-2020,26-03-2020,01-04-2020,13-02-2020
YEM,,,01-05-2020,30-04-2020
ZAF,16-03-2020,16-03-2020,26-03-2020,26-03-2020
ZMB,26-03-2020,26-03-2020,15-04-2020,14-04-2020
ZWE,17-03-2020,17-03-2020,30-03-2020,30-03-2020
ARM,,,,
ATG,,,,
BHS,,,,
COM,,,,
CUW,,,,
CYM,,,,
FRO,,,,
GIB,,,,
GNB,,,,
GNQ,,,,
IMN,,,,
LIE,,,,
LVA,,,,
MCO,,,,
MDV,,,,
MLT,,,,
MNE,,,,
MNP,,,,
NCL,,,,
PYF,,,,
STP,,,,
SXM,,,,
TCA,,,,
TGO,,,,
GRD,,,,
VGB,,,,
