countryCode,causeOfDeathByCommunicableDiseases,healthExpenditure,lifeExpectancy,mortalityFemaleRate,mortalityInfantRate,mortalityMaleRate,mortalityRateDueToUnsafeWater,peopleWithBasicHandwashingFacilities
ISL,4.4,8.1266425549984,82.2048780487805,38.181,1.6,65.669,0.1,
IND,26.0,3.51098328828812,68.897,138.728,33.2,212.282,18.6,59.4224581261787
IDN,20.7,3.11905480921268,71.035,143.435,22.6,203.988,7.1,64.0943257291528
IRN,7.9,8.85950699448586,76.047,60.716,13.3,99.748,1.0,
IRQ,16.8,3.26698906719685,70.122,127.731,23.9,194.611,3.0,93.9854578836609
IRL,5.1,7.38256946206093,81.7048780487805,44.95,3.2,72.089,0.1,
IMN,,,,,,,,
ISR,10.0,7.3259063065052,82.40731707317074,39.638,3.1,70.873,0.2,
ITA,4.9,8.88062864542007,83.24390243902438,,2.8,,0.1,
JAM,11.2,5.7347446680069,74.175,99.104,13.2,163.178,0.6,
JPN,12.7,10.8255289494991,83.9848780487805,36.953,1.9,68.456,0.2,
JOR,10.7,7.16705620288849,74.184,91.336,14.8,126.319,0.6,
KAZ,4.5,3.4348338842392,72.3,101.688,9.8,239.568,0.4,98.999006513259
KEN,63.3,5.01857623457909,65.393,178.751,32.4,258.157,51.2,24.6073953229883
XKX,,,71.64634146341464,,,,,
KWT,14.8,3.97354289889336,75.224,42.887,7.1,71.056,0.1,
KGZ,9.6,6.41248226165771,70.95121951219512,98.667,18.9,220.873,0.8,89.2076285990301
LAO,31.4,2.360874786973,66.924,169.602,40.4,213.841,11.3,49.6697104972569
LVA,2.7,6.21497854590416,74.58048780487805,87.497,3.9,229.587,0.1,
LBN,3.6,7.82264024019241,78.8,49.496,6.8,68.69,0.8,
LSO,59.3,7.94850364327431,52.059,462.799,70.3,554.546,44.4,2.09527790178864
LBR,58.5,9.79585647583008,62.802,215.673,56.7,255.026,41.5,1.18332997804969
LBY,8.0,,72.311,96.125,11.0,171.096,0.6,
LIE,,,82.25853658536586,,,,,
LTU,3.6,6.64436966180801,74.67073170731707,81.433,3.8,242.472,0.1,
LUX,4.9,5.4687324911356,82.68536585365854,38.87,2.1,73.837,0.1,
MDG,46.2,6.11716732382774,65.931,188.53,39.9,239.059,30.2,
MWI,59.7,9.69363376498222,62.681,227.953,38.3,341.306,28.3,9.18175322932738
MYS,17.5,3.79941835999489,75.649,83.97,6.8,156.532,0.4,
MDV,8.0,10.1996921002865,78.013,54.917,8.1,77.824,0.3,95.7938953137068
MLI,60.6,3.77538166940212,57.987,253.409,65.4,272.099,70.7,51.9866971251887
MLT,6.4,9.16641652584076,82.45365853658538,36.104,6.1,65.92,0.1,
MRT,53.4,4.13082428276539,64.208,179.444,54.1,224.778,38.6,42.7758932208854
MUS,6.5,5.70678561925888,74.3948780487805,94.903,12.6,191.798,0.6,
MEX,9.8,5.61609193682671,74.917,78.787,12.2,140.103,1.1,87.8174056003199
MDA,4.2,7.53593370318413,71.617,97.662,13.9,241.492,0.1,86.9794174842251
MCO,,1.74909550696611,,,2.8,,,
MNG,9.7,4.42355647683144,69.321,127.22,15.2,293.693,1.3,71.1580188847214
MNE,1.4,,76.568,68.487,2.8,129.243,0.1,
MAR,14.0,5.23814596235752,75.974,64.695,20.9,74.672,1.9,
